EVENTID|LAT|LONGI|TO_CHAR(STTIME,'YYYYMMDDHH24:MI')|ONSTREET_PENNY|DIRECTION|ADMINCITY|DESCRIPTION|AFFECTEDLANECNT|EVENT_STATUS
935|34.048176|-117.550122|20120614 17:11|I15|1|Rancho Cucamonga|1182 - Traffic Collision - No Injuries|0|2
935|34.018926|-118.17327|20120619 09:17|I710|0|East Los Angeles|1125 - Traffic Hazard|0|2
935|34.033633|-118.386418|20120626 09:54|WB|130|West Los Angeles|1182 - Traffic Collision - No Injuries|0|2
936|33.935956|-117.404936|20120601 15:53|SR91|3|Riverside|1125 - Traffic Hazard|0|2
936|34.365099|-118.503398|20120605 09:29|SR14|0|Newhall|1125 - Traffic Hazard|0|2
936|34.011472|-118.130827|20120612 09:24|OLYMPIC|2|East Los Angeles|1183 - Traffic Collision - No Details|0|2
936|33.806949|-117.507576|20120608 15:51|I15|1|Riverside|CFIRE - Car Fire|0|2
936|34.00475|-118.172815|20120611 09:35|I710|0|East Los Angeles|ANIMAL - Live or Dead Animal|0|2
936|34.361922|-117.433261|20120614 17:11|I15|0|San Bernardino|1183 - Traffic Collision - No Details|0|2
936|34.205081|-118.195769|20120614 09:57|I210|3|Altadena|1125 - Traffic Hazard|0|2
936|34.08203|-117.698225|20120615 16:36|I10|2|Rancho Cucamonga|1125 - Traffic Hazard|0|2
936|34.067508|-117.593351|20120620 17:20|I10|2|Rancho Cucamonga|1183 - Traffic Collision - No Details|0|2
936|34.070106|-117.138807|20120619 17:07|WABASH|130|San Bernardino|1182 - Traffic Collision - No Injuries|0|2
936|33.930871|-118.178897|20120623 10:05|I710|1|East Los Angeles|1125 - Traffic Hazard|0|2
937|33.878527|-117.657914|20120602 18:03|SR91|3|Riverside|1125 - Traffic Hazard|0|2
937|34.113217|-118.244119|20120607 09:17|SR2|0|Central Los Angeles|1182 - Traffic Collision - No Injuries|0|2
937|34.013625|-118.046297|20120608 08:53|WORKMAN|130|Santa Fe Springs|1166 - Defective Traffic Signals or Stop Signs|0|2
937|34.072883|-117.787462|20120613 10:04|I10|3|Baldwin Park|1182 - Traffic Collision - No Injuries|0|2
937|33.992997|-117.356815|20120611 17:18|SR60|2|Riverside|1183 - Traffic Collision - No Details|0|2
937|33.690032|-117.339794|20120615 16:36|SR74|130|Inland Communications Center|FIRE - Report of Fire|0|2
937|33.973682|-117.373041|20120620 17:22|SR91|2|Riverside|1125 - Traffic Hazard|0|2
937|33.859914|-118.299272|20120624 08:50|I405|0|South Los Angeles|1125 - Traffic Hazard|0|2
937|33.81044|-118.081256|20120630 09:40|I605|0|Santa Fe Springs|1125 - Traffic Hazard|0|2
938|33.943129|-117.282866|20120601 15:53|SR60|2|Riverside|1125 - Traffic Hazard|0|2
